,lon,lat,idS,type,origin,clusterFinal
122,12.467497,41.870909,A1E3,medio,True,147.0
123,12.494066,41.901106,A1E3,corto,True,184.0
124,12.47517,41.893811,A1E3,medio,True,138.0
125,12.460443,41.874097,A1E3,corto,True,146.0
126,12.4532,41.877025,A1E3,corto,True,140.0
127,12.460468,41.874135,A1E3,corto,True,146.0
128,12.463301,41.875843,A1E3,corto,True,4.0
129,12.455798,41.907235,A1E3,largo,True,50.0
130,12.500928,41.900289,A1E3,medio,True,165.0
131,12.520711,41.883473,A1E3,corto,True,9.0
132,12.525358,41.88644,A1E3,medio,True,56.0
133,12.493959,41.890495,A1E3,largo,True,68.0
134,12.447025,41.907286,A1E3,corto,True,49.0
135,12.460644,41.916809,A1E3,largo,True,21.0
136,12.46719,41.912443,A1E3,corto,True,83.0
137,12.466351,41.911304,A1E3,corto,True,83.0
138,12.46749,41.909984,A1E3,corto,True,160.0
139,12.45453,41.89653,A1E3,corto,True,60.0
140,12.457125,41.89505,A1E3,medio,True,172.0
141,12.502142,41.859084,A1E3,corto,True,144.0
142,12.494185,41.851854,A1G6,medio,True,183.0
143,12.500097,41.900772,A1G6,largo,True,165.0
144,12.504451,41.898312,A1G6,corto,True,53.0
145,12.513155,41.892751,A1G6,corto,True,25.0
146,12.513805,41.891155,A1G6,corto,True,25.0
147,12.505732,41.913718,A1G6,corto,True,22.0
148,12.489501,41.925222,A1G6,corto,True,19.0
149,12.504287,41.914912,A1G6,corto,True,22.0
150,12.498605,41.911611,A1G6,corto,True,43.0
151,12.514363,41.920012,A1G6,corto,True,96.0
152,12.521772,41.930285,A1G6,corto,True,55.0
153,12.482747,41.896219,A1G6,medio,True,35.0
154,12.521053,41.879943,A1G6,medio,True,177.0
155,12.481361,41.898319,A1G6,corto,True,189.0
156,12.455359,41.914903,A1M0,corto,True,124.0
157,12.466297,41.901174,A1M0,medio,True,1.0
158,12.452952,41.913119,A1Q0,corto,True,12.0
159,12.468137,41.834808,A1Q0,corto,True,169.0
160,12.459782,41.834035,A1Q0,corto,True,112.0
161,12.45958,41.833035,A1Q0,corto,True,112.0
162,12.457636,41.831705,A1Q0,corto,True,112.0
