,cluster,lat,lon,num_points,adjustment_status
103,103.0,41.9136529,12.4588687,173.0,Moved out of Zone
104,104.0,41.8860754,12.4835264,125.0,Moved out of Zone
105,105.0,41.8913249,12.5190162,108.0,Moved out of Zone
106,106.0,41.9208091,12.458946,223.0,Moved out of Zone
107,107.0,41.8918607,12.4701814,296.0,Moved out of Zone
108,108.0,41.8619766,12.5013514,238.0,Moved out of Zone
109,109.0,41.9291019,12.5257661,121.0,Moved out of Zone
110,110.0,41.9036055,12.4783394,356.0,Moved out of Zone
111,111.0,41.9137347,12.520699,258.0,Moved out of Zone
112,112.0,41.8851651,12.4575405,281.0,Moved out of Zone
113,113.0,41.9090907,12.4885014,186.0,Moved out of Zone
114,114.0,41.9424689,12.4719614,65.0,Moved out of Zone
115,115.0,41.8511644,12.4766506,141.0,Moved out of Zone
116,116.0,41.8719269,12.4831916,261.0,Moved out of Zone
117,117.0,41.9087919,12.478525,460.0,Moved out of Zone
118,118.0,41.9090863,12.4463439,217.0,Moved out of Zone
119,119.0,41.9015151,12.4945935,230.0,Moved out of Zone
120,120.0,41.8702167,12.5184676,311.0,Moved out of Zone
121,121.0,41.8461621,12.4826673,350.0,Moved out of Zone
122,122.0,41.8482658,12.4867828,359.0,Moved out of Zone
123,123.0,41.9091667,12.4984128,350.0,Moved out of Zone
124,124.0,41.8982921,12.5112766,159.0,Moved out of Zone
125,125.0,41.9227143,12.4810171,129.0,Moved out of Zone
126,126.0,41.8897309,12.4618915,75.0,Moved out of Zone
127,127.0,41.8949852,12.4847494,142.0,Moved out of Zone
128,128.0,41.9370266,12.4664584,324.0,Moved out of Zone
129,129.0,41.9072592,12.462699,196.0,Moved out of Zone
130,130.0,41.827572,12.479528,109.0,Moved out of Zone
131,131.0,41.9037969,12.4845222,387.0,Moved out of Zone
132,132.0,41.8860745,12.5174784,334.0,Moved out of Zone
133,133.0,41.873018,12.4656732,298.0,Moved out of Zone
134,134.0,41.8880415,12.5043133,205.0,Moved out of Zone
135,135.0,41.8751928,12.5227636,574.0,Moved out of Zone
136,136.0,41.8608974,12.4899093,176.0,Moved out of Zone
137,137.0,41.8905524,12.4946425,371.0,Moved out of Zone
138,138.0,41.8900142,12.4807165,275.0,Moved out of Zone
139,139.0,41.9234957,12.4696192,167.0,Moved out of Zone
140,140.0,41.8825116,12.5126979,642.0,Moved out of Zone
141,141.0,41.874041,12.5296843,226.0,Moved out of Zone
142,142.0,41.8907498,12.5017202,276.0,Moved out of Zone
143,143.0,41.9055458,12.5166454,90.0,Moved out of Zone
144,144.0,41.833195,12.4596,191.0,Moved out of Zone
145,145.0,41.8701732,12.4471497,81.0,Moved out of Zone
146,146.0,41.8803782,12.4542953,217.0,Moved out of Zone
147,147.0,41.9123603,12.4431498,120.0,Moved out of Zone
148,148.0,41.8709233,12.5229284,298.0,Moved out of Zone
149,149.0,41.9297485,12.4914921,35.0,Moved out of Zone
150,150.0,41.8876842,12.5215358,325.0,Moved out of Zone
151,151.0,41.931875,12.4712992,158.0,Moved out of Zone
152,152.0,41.830304,12.4664313,187.0,Moved out of Zone
153,153.0,41.9215724,12.5119709,269.0,Moved out of Zone
154,154.0,41.8826578,12.4910384,40.0,Moved out of Zone
155,155.0,41.8734564,12.4792203,209.0,Moved out of Zone
156,156.0,41.8853016,12.463995,161.0,Moved out of Zone
157,157.0,41.9290623,12.5164147,145.0,Moved out of Zone
158,158.0,41.9467655,12.4738302,109.0,Moved out of Zone
159,159.0,41.8779979,12.4591544,646.0,Moved out of Zone
160,160.0,41.9101498,12.4538123,237.0,Moved out of Zone
161,161.0,41.8777536,12.4731899,542.0,Moved out of Zone
162,162.0,41.8787537,12.4956443,34.0,Moved out of Zone
163,163.0,41.8968545,12.4821827,266.0,Moved out of Zone
164,164.0,41.86274,12.4781787,95.0,Moved out of Zone
165,165.0,41.8760546,12.5056761,203.0,Moved out of Zone
166,166.0,41.8967851,12.4676463,291.0,Moved out of Zone
167,167.0,41.8733736,12.5135185,239.0,Moved out of Zone
168,168.0,41.8756382,12.445733,126.0,Moved out of Zone
169,169.0,41.8371162,12.4789611,50.0,Moved out of Zone
170,170.0,41.8830752,12.4775288,162.0,Moved out of Zone
171,171.0,41.8622195,12.4643742,94.0,Moved out of Zone
172,172.0,41.9353383,12.5156414,74.0,Moved out of Zone
173,173.0,41.9283962,12.4849174,110.0,Moved out of Zone
174,174.0,41.8932891,12.4878129,179.0,Moved out of Zone
175,175.0,41.9121381,12.4659421,220.0,Moved out of Zone
176,176.0,41.8994582,12.4768712,276.0,Moved out of Zone
177,177.0,41.9158775,12.4823884,52.0,Moved out of Zone
178,178.0,41.8917431,12.5164472,102.0,Moved out of Zone
179,179.0,41.8182841,12.4735163,39.0,Moved out of Zone
180,180.0,41.8462271,12.4908163,273.0,Moved out of Zone
181,181.0,41.9008395,12.4815043,446.0,Moved out of Zone
182,182.0,41.8751282,12.4548275,370.0,Moved out of Zone
183,183.0,41.9271006,12.5092104,139.0,Moved out of Zone
184,184.0,41.9055771,12.4697342,224.0,Moved out of Zone
185,185.0,41.8800192,12.4859726,251.0,Moved out of Zone
186,186.0,41.9149201,12.4556997,257.0,Moved out of Zone
187,187.0,41.8752329,12.4685062,186.0,Moved out of Zone
188,188.0,41.8811231,12.4667159,245.0,Moved out of Zone
189,189.0,41.8821182,12.4997232,139.0,Moved out of Zone
