,cluster,lat,lon,num_points,adjustment_status
103,103.0,41.8826846,12.465821,329.0,Moved out of Zone
104,104.0,41.8288572,12.4712966,164.0,Moved out of Zone
105,105.0,41.8667538,12.4848002,236.0,Moved out of Zone
106,106.0,41.9298181,12.5261035,126.0,Moved out of Zone
107,107.0,41.8914927,12.4700619,315.0,Moved out of Zone
108,108.0,41.895048,12.4387044,56.0,Moved out of Zone
109,109.0,41.891523,12.4918891,418.0,Moved out of Zone
110,110.0,41.9319695,12.4721628,132.0,Moved out of Zone
111,111.0,41.8426885,12.4832169,260.0,Moved out of Zone
112,112.0,41.8334948,12.4586732,192.0,Moved out of Zone
113,113.0,41.9051604,12.4582948,249.0,Moved out of Zone
114,114.0,41.872117,12.4477189,232.0,Moved out of Zone
115,115.0,41.8732904,12.5195302,219.0,Moved out of Zone
116,116.0,41.8774567,12.5248679,497.0,Moved out of Zone
117,117.0,41.9198481,12.5239334,174.0,Moved out of Zone
118,118.0,41.9084313,12.5028896,203.0,Moved out of Zone
119,119.0,41.8371162,12.4789611,51.0,Moved out of Zone
120,120.0,41.8247347,12.457043,63.0,Moved out of Zone
121,121.0,41.8967382,12.498379,339.0,Moved out of Zone
122,122.0,41.8573232,12.4725779,155.0,Moved out of Zone
123,123.0,41.8800192,12.4859726,270.0,Moved out of Zone
124,124.0,41.9159166,12.4559209,199.0,Moved out of Zone
125,125.0,41.900003,12.476703,224.0,Moved out of Zone
126,126.0,41.8357435,12.464703,161.0,Moved out of Zone
127,127.0,41.9094033,12.4887635,223.0,Moved out of Zone
128,128.0,41.8192878,12.4810808,101.0,Moved out of Zone
129,129.0,41.8934018,12.4871321,225.0,Moved out of Zone
130,130.0,41.8907498,12.5017202,249.0,Moved out of Zone
131,131.0,41.9104533,12.4711737,130.0,Moved out of Zone
132,132.0,41.9185082,12.4716454,131.0,Moved out of Zone
133,133.0,41.9049253,12.4441233,245.0,Moved out of Zone
134,134.0,41.8799748,12.5079204,262.0,Moved out of Zone
135,135.0,41.8976533,12.5120764,103.0,Moved out of Zone
136,136.0,41.8482658,12.4867828,385.0,Moved out of Zone
137,137.0,41.9296232,12.4876133,116.0,Moved out of Zone
138,138.0,41.8933226,12.4752869,363.0,Moved out of Zone
139,139.0,41.9093075,12.5207554,156.0,Moved out of Zone
140,140.0,41.8784072,12.4520486,111.0,Moved out of Zone
141,141.0,41.9134992,12.4586585,186.0,Moved out of Zone
142,142.0,41.9467655,12.4738302,141.0,Moved out of Zone
143,143.0,41.9038846,12.4846579,377.0,Moved out of Zone
144,144.0,41.8593522,12.5022035,94.0,Moved out of Zone
145,145.0,41.827572,12.479528,114.0,Moved out of Zone
146,146.0,41.8725939,12.4583895,392.0,Moved out of Zone
147,147.0,41.8706408,12.4684708,152.0,Moved out of Zone
148,148.0,41.8609722,12.4917007,121.0,Moved out of Zone
149,149.0,41.9072608,12.4732515,228.0,Moved out of Zone
150,150.0,41.9177656,12.4809451,77.0,Moved out of Zone
151,151.0,41.8710665,12.5235314,296.0,Moved out of Zone
152,152.0,41.8880415,12.5043133,199.0,Moved out of Zone
153,153.0,41.8946953,12.4805614,331.0,Moved out of Zone
154,154.0,41.874345,12.4720454,207.0,Moved out of Zone
155,155.0,41.8971977,12.467248,251.0,Moved out of Zone
156,156.0,41.9046757,12.4781875,426.0,Moved out of Zone
157,157.0,41.8462101,12.4826066,355.0,Moved out of Zone
158,158.0,41.8913249,12.5190162,164.0,Moved out of Zone
159,159.0,41.8553989,12.481392,251.0,Moved out of Zone
160,160.0,41.9087621,12.4675191,166.0,Moved out of Zone
161,161.0,41.8700541,12.4533544,139.0,Moved out of Zone
162,162.0,41.8799146,12.5030279,236.0,Moved out of Zone
163,163.0,41.873221,12.4658575,298.0,Moved out of Zone
164,164.0,41.8865013,12.4843271,120.0,Moved out of Zone
165,165.0,41.9008112,12.5000502,633.0,Moved out of Zone
166,166.0,41.9093425,12.477871,310.0,Moved out of Zone
167,167.0,41.8761753,12.5166287,290.0,Moved out of Zone
168,168.0,41.9228759,12.4981623,125.0,Moved out of Zone
169,169.0,41.8347881,12.4678568,280.0,Moved out of Zone
170,170.0,41.8850609,12.4562176,156.0,Moved out of Zone
171,171.0,41.8861783,12.5172333,279.0,Moved out of Zone
172,172.0,41.8947871,12.4605912,79.0,Moved out of Zone
173,173.0,41.8641377,12.4781536,115.0,Moved out of Zone
174,174.0,41.8663887,12.4658631,181.0,Moved out of Zone
175,175.0,41.8674158,12.4929381,292.0,Moved out of Zone
176,176.0,41.8970826,12.4869658,214.0,Moved out of Zone
177,177.0,41.8806476,12.5223722,283.0,Moved out of Zone
178,178.0,41.8771763,12.5195375,402.0,Moved out of Zone
179,179.0,41.9071793,12.4623545,180.0,Moved out of Zone
180,180.0,41.9298521,12.4669013,153.0,Moved out of Zone
181,181.0,41.9099577,12.5105991,128.0,Moved out of Zone
182,182.0,41.8690811,12.519537,184.0,Moved out of Zone
183,183.0,41.8524105,12.4910365,86.0,Moved out of Zone
184,184.0,41.9000735,12.4915588,156.0,Moved out of Zone
185,185.0,41.8925043,12.5092605,213.0,Moved out of Zone
186,186.0,41.8805503,12.454836,225.0,Moved out of Zone
187,187.0,41.9055458,12.5166454,94.0,Moved out of Zone
188,188.0,41.8734361,12.5129787,222.0,Moved out of Zone
189,189.0,41.8993857,12.4818165,277.0,Moved out of Zone
